timestamp,machine_id,event_type,platform_id,cpu_capacity,memory_capacity
0,pm_0001,0,HP_ProLiant_G5,1.0,1.0
0,pm_0002,0,HP_ProLiant_G5,1.0,1.0
0,pm_0003,0,HP_ProLiant_G5,1.0,1.0
0,pm_0004,0,HP_ProLiant_G5,1.0,1.0
0,pm_0005,0,HP_ProLiant_G5,1.0,1.0
0,pm_0006,0,HP_ProLiant_G5,1.0,1.0
0,pm_0007,0,HP_ProLiant_G5,1.0,1.0
0,pm_0008,0,HP_ProLiant_G5,1.0,1.0
0,pm_0009,0,HP_ProLiant_G5,1.0,1.0
0,pm_0010,0,HP_ProLiant_G5,1.0,1.0
0,pm_0011,0,HP_ProLiant_G5,1.0,1.0
0,pm_0012,0,HP_ProLiant_G5,1.0,1.0
0,pm_0013,0,HP_ProLiant_G5,1.0,1.0
0,pm_0014,0,HP_ProLiant_G5,1.0,1.0
0,pm_0015,0,HP_ProLiant_G5,1.0,1.0
0,pm_0016,0,HP_ProLiant_G5,1.0,1.0
0,pm_0017,0,HP_ProLiant_G5,1.0,1.0
0,pm_0018,0,HP_ProLiant_G5,1.0,1.0
0,pm_0019,0,HP_ProLiant_G5,1.0,1.0
0,pm_0020,0,HP_ProLiant_G5,1.0,1.0
0,pm_0021,0,HP_ProLiant_G5,1.0,1.0
0,pm_0022,0,HP_ProLiant_G5,1.0,1.0
0,pm_0023,0,HP_ProLiant_G5,1.0,1.0
0,pm_0024,0,HP_ProLiant_G5,1.0,1.0
0,pm_0025,0,HP_ProLiant_G5,1.0,1.0
0,pm_0026,0,HP_ProLiant_G5,1.0,1.0
0,pm_0027,0,HP_ProLiant_G5,1.0,1.0
0,pm_0028,0,HP_ProLiant_G5,1.0,1.0
0,pm_0029,0,HP_ProLiant_G5,1.0,1.0
0,pm_0030,0,HP_ProLiant_G5,1.0,1.0
0,pm_0031,0,HP_ProLiant_G5,1.0,1.0
0,pm_0032,0,HP_ProLiant_G5,1.0,1.0
0,pm_0033,0,HP_ProLiant_G5,1.0,1.0
0,pm_0034,0,HP_ProLiant_G5,1.0,1.0
0,pm_0035,0,HP_ProLiant_G5,1.0,1.0
0,pm_0036,0,HP_ProLiant_G5,1.0,1.0
0,pm_0037,0,HP_ProLiant_G5,1.0,1.0
0,pm_0038,0,HP_ProLiant_G5,1.0,1.0
0,pm_0039,0,HP_ProLiant_G5,1.0,1.0
0,pm_0040,0,HP_ProLiant_G5,1.0,1.0
0,pm_0041,0,HP_ProLiant_G5,1.0,1.0
0,pm_0042,0,HP_ProLiant_G5,1.0,1.0
0,pm_0043,0,HP_ProLiant_G5,1.0,1.0
0,pm_0044,0,HP_ProLiant_G5,1.0,1.0
0,pm_0045,0,HP_ProLiant_G5,1.0,1.0
0,pm_0046,0,HP_ProLiant_G5,1.0,1.0
0,pm_0047,0,HP_ProLiant_G5,1.0,1.0
0,pm_0048,0,HP_ProLiant_G5,1.0,1.0
0,pm_0049,0,HP_ProLiant_G5,1.0,1.0
0,pm_0050,0,HP_ProLiant_G5,1.0,1.0
0,pm_0051,0,HP_ProLiant_G5,1.0,1.0
0,pm_0052,0,HP_ProLiant_G5,1.0,1.0
0,pm_0053,0,HP_ProLiant_G5,1.0,1.0
0,pm_0054,0,HP_ProLiant_G5,1.0,1.0
0,pm_0055,0,HP_ProLiant_G5,1.0,1.0
0,pm_0056,0,HP_ProLiant_G5,1.0,1.0
0,pm_0057,0,HP_ProLiant_G5,1.0,1.0
0,pm_0058,0,HP_ProLiant_G5,1.0,1.0
0,pm_0059,0,HP_ProLiant_G5,1.0,1.0
0,pm_0060,0,HP_ProLiant_G5,1.0,1.0
0,pm_0061,0,HP_ProLiant_G5,1.0,1.0
0,pm_0062,0,HP_ProLiant_G5,1.0,1.0
0,pm_0063,0,HP_ProLiant_G5,1.0,1.0
0,pm_0064,0,HP_ProLiant_G5,1.0,1.0
0,pm_0065,0,HP_ProLiant_G5,1.0,1.0
0,pm_0066,0,HP_ProLiant_G5,1.0,1.0
0,pm_0067,0,HP_ProLiant_G5,1.0,1.0
0,pm_0068,0,HP_ProLiant_G5,1.0,1.0
0,pm_0069,0,HP_ProLiant_G5,1.0,1.0
0,pm_0070,0,HP_ProLiant_G5,1.0,1.0
0,pm_0071,0,HP_ProLiant_G5,1.0,1.0
0,pm_0072,0,HP_ProLiant_G5,1.0,1.0
0,pm_0073,0,HP_ProLiant_G5,1.0,1.0
0,pm_0074,0,HP_ProLiant_G5,1.0,1.0
0,pm_0075,0,HP_ProLiant_G5,1.0,1.0
0,pm_0076,0,HP_ProLiant_G5,1.0,1.0
0,pm_0077,0,HP_ProLiant_G5,1.0,1.0
0,pm_0078,0,HP_ProLiant_G5,1.0,1.0
0,pm_0079,0,HP_ProLiant_G5,1.0,1.0
